n,o,l
E08000016,14.142954,10.0
E09000001,2.0756545,0.0
E06000051,11.317281,8.0
E06000039,8.810537,9.0
E09000005,22.250381,12.0
E09000020,4.731886,4.0
E08000001,22.119053,14.0
E06000004,8.177729,10.0
E08000012,28.22363,21.0
E09000010,17.410425,3.0
E09000002,8.036845,0.0
E08000022,9.119207,15.0
E08000031,17.90311,8.0
E10000013,29.755335,13.0
E08000032,20.225843,26.0
E08000035,39.857937,21.0
E08000003,25.163004,17.0
E06000035,15.758097,8.0
E06000042,8.675177,13.0
E06000008,8.2883,8.0
E06000059,6.121675,3.0
E06000015,5.888681,1.0
E06000011,19.32573,28.0
E08000024,36.528725,25.0
E06000003,4.970814,6.0
E06000024,5.147334,9.0
E06000049,24.106264,25.0
E08000037,17.625517,22.0
E10000015,44.335457,33.0
E06000016,16.399786,12.0
E10000016,117.46144,69.0
E08000017,13.01727,22.0
E06000018,11.4715805,6.0
E08000002,17.291273,11.0
E06000050,18.432272,19.0
E06000045,12.759102,15.0
E10000027,18.66375,13.0
E09000017,14.679258,3.0
E06000001,4.8763943,17.0
E10000031,28.64343,4.0
E10000006,30.821226,44.0
E10000030,63.63413,27.0
E08000019,51.34299,36.0
E06000055,10.69105,15.0
E10000020,45.746063,52.0
E10000003,17.41814,27.0
E06000044,4.774632,2.0
E09000004,12.539254,11.0
E10000019,23.25677,11.0
E06000020,7.6880603,8.0
E09000029,12.730651,4.0
E06000012,3.5002747,0.0
E09000015,13.11578,6.0
E06000030,11.856748,3.0
E10000018,25.642881,17.0
E10000012,48.174038,40.0
E09000008,24.215239,21.0
E06000054,9.722967,6.0
E08000015,25.21194,8.0
E08000008,9.249968,8.0
E06000006,7.6155663,5.0
E06000052,10.010662,4.0
E09000023,13.1526985,7.0
E08000009,12.060455,12.0
E10000025,36.731007,32.0
E06000007,14.672516,16.0
E08000036,11.530647,19.0
E09000021,9.930973,12.0
E09000009,18.963524,7.0
E08000004,20.952303,13.0
E08000005,16.29556,6.0
E08000027,19.215506,18.0
E09000016,10.843018,4.0
E08000014,18.509724,16.0
E10000024,25.430124,21.0
E06000022,4.5148816,1.0
E08000023,19.25403,24.0
E09000018,11.167518,17.0
E06000037,10.954798,5.0
E08000007,19.085638,26.0
E08000010,26.088015,9.0
E06000040,6.0274196,2.0
E10000011,12.970779,11.0
E06000036,4.275944,1.0
E10000014,69.50856,54.0
E06000046,2.4931152,1.0
E10000034,33.1977,14.0
E08000021,17.781372,34.0
E08000034,11.509866,13.0
E06000027,7.8470206,1.0
E06000032,7.398797,0.0
E06000026,13.594784,2.0
E10000028,46.216404,31.0
E10000032,3.4922612,22.0
E06000033,29.498117,5.0
E06000013,13.0631485,14.0
E09000022,13.3827305,7.0
E08000026,16.286987,6.0
E09000027,5.250465,8.0
E08000013,14.297976,8.0
E06000041,11.023606,10.0
E06000047,38.661434,46.0
E06000017,2.165297,0.0
E10000021,22.122213,12.0
E08000025,64.87477,35.0
E10000008,18.2165,7.0
E08000018,19.101778,16.0
E06000005,7.545585,6.0
E10000017,70.99176,64.0
E06000009,16.734484,12.0
E08000030,21.91966,21.0
E06000057,21.233847,19.0
E06000038,16.578268,5.0
E10000007,23.756578,7.0
E10000023,25.075636,34.0
E06000031,6.1251903,8.0
E08000033,4.985335,7.0
E06000043,10.341307,4.0
E09000003,12.607528,9.0
E06000014,6.4561176,12.0
E10000029,41.313084,25.0
E10000002,18.737482,6.0
E09000006,15.493126,10.0
E08000011,15.94965,17.0
E06000021,12.368575,21.0
E09000026,8.330888,16.0
E06000056,10.73339,4.0
E06000002,14.469206,12.0
E06000034,3.6377723,7.0
