n,o,l
tarragona,23.719269,23.0
almeria,5.989122,5.0
guadalajara,33.5097,51.0
lleida,25.48454,29.0
araba/alava,29.879574,98.0
bizkaia,105.98591,197.0
granada,39.86519,54.0
burgos,36.756496,32.0
alicante,31.678743,48.0
valladolid,49.00213,55.0
cuenca,51.598175,70.0
cordoba,7.998603,19.0
jaen,16.063517,22.0
malaga,26.384262,170.0
valencia,90.44342,100.0
toledo,104.665215,99.0
avila,27.428623,42.0
barcelona,731.3296,705.0
zamora,17.878527,5.0
ciudad_real,95.334816,178.0
palencia,12.945772,56.0
castellon,19.926188,23.0
leon,68.906685,67.0
girona,21.57372,182.0
caceres,43.059723,38.0
gipuzkoa,21.199175,57.0
cadiz,13.858991,9.0
badajoz,14.281028,17.0
albacete,26.701668,98.0
sevilla,23.898684,43.0
salamanca,47.93312,49.0
soria,20.468054,33.0
huelva,6.7607875,7.0
segovia,51.24862,35.0
