n,o,l
oise,19.894188,63.0
loire_atlantique,1.4985571,0.0
calvados,5.1605844,2.0
hauts_de_seine,79.771454,112.0
tarn_et_garonne,1.3956537,0.0
val_de_marne,46.866768,101.0
alpes_de_haute_provence,1.395922,2.0
vosges,5.0013585,11.0
haute_saone,8.015235,12.0
vaucluse,5.917704,31.0
charente_maritime,1.0771333,3.0
ardeche,1.6627126,0.0
savoie,1.2352765,2.0
loir_et_cher,0.4257547,2.0
haute_marne,1.5261626,2.0
alpes_maritimes,4.6568594,10.0
drome,3.4599488,0.0
meuse,0.5899749,6.0
aude,4.1784096,15.0
herault,31.29419,23.0
manche,1.8940885,8.0
yvelines,32.571804,72.0
seine_et_marne,30.142632,133.0
ain,4.8203526,10.0
indre_et_loire,4.5627403,2.0
correze,0.84072053,1.0
bouches_du_rhone,89.77433,156.0
loiret,7.3787055,15.0
moselle,17.172977,0.0
nord,4.181451,19.0
vienne,0.0,2.0
eure_et_loir,14.600003,113.0
puy_de_dome,4.310522,10.0
rhone,11.737939,9.0
ardennes,2.3623564,0.0
charente,0.6602051,2.0
aisne,4.1543503,15.0
var,0.2958311,13.0
lot_et_garonne,0.6933993,0.0
loire,0.56814706,1.0
pyrenees_orientales,0.31490877,2.0
nievre,0.9935882,4.0
aube,4.426487,26.0
maine_et_loire,0.64138854,0.0
haute_savoie,11.993079,43.0
saone_et_loire,3.3269534,12.0
doubs,3.7767723,11.0
pyrenees_atlantiques,2.771735,6.0
pas_de_calais,0.40332228,31.0
indre,8.134526,8.0
cote_d'or,1.4356785,2.0
seine_maritime,5.8166695,32.0
marne,7.8066206,14.0
yonne,0.0,0.0
haute_vienne,2.002776,5.0
seine_saint_denis,69.156715,123.0
bas_rhin,9.551352,0.0
lot,0.0,0.0
landes,21.250225,4.0
haut_rhin,0.6015289,3.0
orne,0.75822484,0.0
isere,0.27028108,5.0
territoire_de_belfort,1.9218835,12.0
haute_garonne,5.276806,12.0
dordogne,0.33458558,0.0
paris,114.42744,188.0
gard,2.5277128,35.0
mayenne,0.24833377,1.0
val_d'oise,49.230526,53.0
gironde,12.673262,12.0
cher,4.6220293,14.0
eure,7.3654695,37.0
jura,0.7644839,36.0
tarn,1.9005189,6.0
haute_loire,1.1489385,1.0
somme,5.026723,15.0
gers,1.7319098,4.0
cantal,1.2115271,0.0
meurthe_et_moselle,5.969918,16.0
hautes_pyrenees,3.7930694,2.0
essonne,63.500237,178.0
