n,o,l
oise,32.89134,0.0
meurthe_et_moselle,3.2145526,0.0
alpes_maritimes,5.2841945,1.0
marne,9.193198,2.0
loire,0.0,0.0
ain,5.839614,68.0
pyrenees_atlantiques,1.8226198,0.0
var,11.147452,0.0
aude,4.567067,0.0
ardennes,0.32633847,0.0
loir_et_cher,0.0,0.0
somme,11.542112,0.0
hautes_pyrenees,2.362918,0.0
haute_garonne,2.7391725,2.0
bouches_du_rhone,10.788733,0.0
bas_rhin,62.895603,9.0
cantal,0.0,2.0
landes,0.0,0.0
rhone,9.390455,0.0
calvados,2.5960827,2.0
cote_d'or,2.2324514,0.0
eure_et_loir,19.79903,1.0
meuse,0.7281487,0.0
indre_et_loire,0.7894997,0.0
aube,7.602141,0.0
indre,6.8661046,0.0
val_de_marne,47.749996,6.0
haute_marne,0.0,0.0
herault,26.219429,5.0
gard,7.2330203,1.0
paris,78.93353,35.0
haute_vienne,0.0,0.0
ardeche,0.30027956,0.0
vaucluse,3.4335737,0.0
drome,2.2567153,0.0
pas_de_calais,12.551939,0.0
loiret,10.554656,0.0
yvelines,23.24748,3.0
jura,1.4167619,0.0
tarn_et_garonne,0.0,0.0
manche,0.8160587,0.0
territoire_de_belfort,2.3984382,0.0
eure,19.566341,0.0
val_d'oise,28.530891,25.0
pyrenees_orientales,0.0,0.0
hauts_de_seine,67.189896,4.0
moselle,17.1647,1.0
isere,41.325924,17.0
essonne,0.07839493,0.0
nievre,1.6858462,0.0
vosges,14.0099325,0.0
lot,0.0,0.0
haute_saone,2.9560876,1.0
seine_maritime,9.897097,0.0
dordogne,0.0,0.0
alpes_de_haute_provence,0.0,0.0
puy_de_dome,4.6567965,2.0
haut_rhin,31.745981,0.0
charente_maritime,1.4742955,1.0
vienne,0.0,0.0
nord,10.184237,0.0
saone_et_loire,5.989492,6.0
haute_loire,0.06296994,0.0
charente,0.0,0.0
loire_atlantique,0.0,0.0
aisne,0.0012007765,0.0
tarn,15.809669,0.0
gironde,0.0,0.0
cher,8.996557,0.0
mayenne,4.8549724,0.0
doubs,0.0,0.0
seine_et_marne,4.2535663,5.0
correze,42.67908,0.0
gers,0.0,0.0
orne,0.61389357,0.0
maine_et_loire,0.0,0.0
seine_saint_denis,63.913025,7.0
yonne,0.0,0.0
lot_et_garonne,0.0,0.0
haute_savoie,11.227459,0.0
savoie,0.0,0.0
