shift,loss,loss_std
0,762.39062,173.92485
1,852.26874,263.40988
2,930.96899,321.70984
3,977.90308,348.12643
4,1008.88654,360.15869
5,1024.09009,367.90195
6,1028.30396,367.03711
7,1032.85571,369.54230
8,1052.88074,377.92886
9,1082.22278,393.54468
10,1112.99976,411.07266
11,1141.01709,426.57669
12,1159.99426,430.73553
13,1172.63403,429.86563
shift,loss,loss_std
0,763.50354,179.62279
1,807.03900,205.13269
2,840.63818,239.00584
3,862.26221,257.94986
4,873.37762,264.71515
5,883.84253,271.59863
6,898.08960,277.04520
7,915.13367,286.49619
8,938.85370,305.28854
9,963.26355,323.01862
10,985.14246,330.72177
11,1006.22498,337.31958
12,1025.19238,341.96255
13,1044.52136,347.01474
shift,loss,loss_std
0,766.76569,176.12875
1,824.69104,209.71852
2,878.55658,241.03215
3,923.06335,256.29474
4,949.40613,264.68500
5,961.77283,270.08105
6,974.30615,275.50699
7,988.43427,284.11276
8,1012.53436,297.33347
9,1040.02197,309.18585
10,1067.52185,320.56369
11,1092.58691,333.38861
12,1113.52808,342.81235
13,1133.26624,353.29797
