shift,loss,loss_std
0,1472.39038,613.54645
1,1500.48120,629.01776
2,1534.63025,648.39856
3,1563.19324,668.32190
4,1589.01941,679.31451
5,1620.46240,702.35797
6,1652.28149,720.35168
7,1686.18567,745.22833
8,1724.58154,776.50244
9,1761.59106,803.76080
10,1798.54663,824.09729
11,1830.24023,837.42102
12,1858.50928,843.71686
13,1886.42224,849.59869
shift,loss,loss_std
0,1457.83740,605.70093
1,1502.79053,635.89014
2,1543.26855,662.43811
3,1574.44226,688.38422
4,1602.15015,701.20416
5,1635.31104,733.45496
6,1668.61133,754.39838
7,1700.96875,773.34241
8,1739.30627,801.15625
9,1775.99207,828.01727
10,1813.09167,847.89459
11,1844.24255,858.10675
12,1872.49011,864.48560
13,1899.03760,870.20471
shift,loss,loss_std
shift,loss,loss_std
0,1457.86975,606.25720
1,1590.79370,724.78473
2,1679.75403,776.24915
3,1743.45483,814.40710
4,1794.38025,843.30518
5,1835.98267,874.15247
6,1871.09314,899.90485
7,1894.27478,905.43024
8,1931.91638,930.13141
9,1972.37268,953.17395
10,2012.28699,970.68359
11,2049.59912,985.45691
12,2081.75635,994.32373
13,2109.80469,1004.76282
