shift,loss,loss_std
0,996.95703,374.50690
1,1036.10376,408.19580
2,1068.19702,424.24829
3,1089.41125,428.72235
4,1110.50220,429.98114
5,1135.44519,436.90854
6,1165.90466,445.56174
7,1194.30408,457.55533
8,1227.47290,475.35883
9,1256.67090,485.33887
10,1285.40723,494.35391
11,1312.91040,502.49319
12,1337.74487,509.15973
13,1362.62952,516.16949
shift,loss,loss_std
0,946.86725,354.92642
1,1022.89056,407.06693
2,1064.90234,443.95007
3,1085.64307,452.36633
4,1098.32532,452.70541
5,1122.59644,463.94559
6,1152.84363,477.01941
7,1185.63721,490.60287
8,1228.91272,526.04840
9,1262.61133,541.76776
10,1295.42175,550.64355
11,1324.97119,558.19678
12,1350.84375,561.84631
13,1375.93689,566.62427
shift,loss,loss_std
0,975.93207,378.68967
1,1035.42920,420.93353
2,1075.11951,457.04755
3,1102.27295,468.60928
4,1117.43420,465.64310
5,1139.96741,472.85495
6,1172.28943,486.46951
7,1203.38843,495.97400
8,1243.07849,519.79706
9,1275.42151,534.12366
10,1308.93542,544.49335
11,1338.09558,550.39349
12,1364.81812,554.42303
13,1389.21008,558.63971
