shift,loss,loss_std
0,430.78244,297.60785
1,478.29199,356.72421
2,494.35974,362.07776
3,510.88052,385.38806
4,509.19263,378.87924
5,501.47537,367.53012
6,499.01334,358.03937
7,504.51837,360.94519
8,516.70337,372.35007
9,526.19128,376.03702
10,536.22015,378.24579
11,547.21240,384.86102
12,554.66235,385.12344
13,562.74805,385.14670
shift,loss,loss_std
0,429.00439,298.37476
1,468.65714,350.03415
2,482.65988,366.75479
3,479.29639,356.98007
4,476.33490,355.77985
5,469.02515,344.83783
6,465.49631,336.16623
7,471.71530,341.54150
8,483.46396,355.80548
9,492.34698,360.36325
10,500.94376,363.61850
11,509.03369,367.59192
12,515.41962,369.50031
13,523.19708,370.34888
shift,loss,loss_std
0,446.41068,326.42755
1,472.51898,344.81073
2,481.43542,354.25653
3,478.58792,349.99667
4,469.07266,340.76248
5,463.47195,332.74454
6,459.00610,326.00510
7,463.37628,328.63187
8,473.14853,335.35330
9,482.80856,343.00275
10,490.56851,346.08493
11,499.98309,354.44766
12,506.81372,356.48022
13,512.14575,357.72333
